Latitude,Longitude,Stop Name,Stop Status
40.691378,-73.987153,FULTON ST/JAY ST,at stop
40.685916,-73.972682,GREENE AV/FULTON ST,at stop
40.690792,-73.985683,FULTON ST/HOYT ST,at stop
40.687121,-73.962269,GREENE AV/GRAND AV,at stop
40.686215,-73.950585,GATES AV/NOSTRAND AV,approaching
40.686603,-73.947237,GATES AV/MARCY AV,approaching
40.69182,-73.919781,GATES AV/EVERGREEN AV,approaching
40.696229,-73.915452,GATES AV/KNICKERBOCKER AV,approaching
40.696189,-73.991055,Tillary St (not used),approaching
40.693922,-73.990411,N/A,N/A
40.689261,-73.92409,GATES AV/BROADWAY,< 1 stop away
40.687962,-73.935404,GATES AV/STUYVESANT AV,< 1 stop away
